groupKey,groupName,companyKey,companyName,productFolder,productName,imageCount,BHX,bhxPrice,bhxPriceStatus,bhxPriceFetchedAt,satrafood,Coop Mart,MEgA,Winmart
condiments_oil,"Dầu ăn, nước chấm, gia vị",d_shining,Công ty Cổ phần D-SHINING,N?????c m???m cao c???p c???t nh?? t??m ?????u B???p T??m 18 ????? ?????m chai 500ml,N?????c m???m cao c???p c???t nh?? t??m ?????u B???p T??m 18 ????? ?????m chai 500ml,7,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",d_shining,Công ty Cổ phần D-SHINING,N?????c m???m c???t nh?? t??m ?????u B???p T??m 14 ????? ?????m chai 500ml,N?????c m???m c???t nh?? t??m ?????u B???p T??m 14 ????? ?????m chai 500ml,1,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",d_shining,Công ty Cổ phần D-SHINING,Th??ng 12 chai n?????c m???m c???t nh?? t??m ?????u B???p T??m 18 ????? ?????m chai 500ml,Th??ng 12 chai n?????c m???m c???t nh?? t??m ?????u B???p T??m 18 ????? ?????m chai 500ml,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",d_shining,Công ty Cổ phần D-SHINING,Th??ng 15 chai n?????c ch???m ?????u B???p T??m chai 800ml,Th??ng 15 chai n?????c ch???m ?????u B???p T??m chai 800ml,5,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",tuong_an,Công ty Cổ phần Dầu Thực Vật Tường An,B?? th???c v???t T?????ng An h?? 200g,B?? th???c v???t T?????ng An h?? 200g,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",tuong_an,Công ty Cổ phần Dầu Thực Vật Tường An,B?? th???c v???t T?????ng An h?? 80g,B?? th???c v???t T?????ng An h?? 80g,5,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",tuong_an,Công ty Cổ phần Dầu Thực Vật Tường An,D???u ?????u n??nh 100% nguy??n ch???t T?????ng An chai 1 l??t,D???u ?????u n??nh 100% nguy??n ch???t T?????ng An chai 1 l??t,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",tuong_an,Công ty Cổ phần Dầu Thực Vật Tường An,D???u g???c cho b?? Vio Extra T?????ng An chai 250ml,D???u g???c cho b?? Vio Extra T?????ng An chai 250ml,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",tuong_an,Công ty Cổ phần Dầu Thực Vật Tường An,D???u th???c v???t T?????ng An Cooking Oil can 2 l??t,D???u th???c v???t T?????ng An Cooking Oil can 2 l??t,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",tuong_an,Công ty Cổ phần Dầu Thực Vật Tường An,D???u th???c v???t T?????ng An Cooking Oil chai 1 l??t,D???u th???c v???t T?????ng An Cooking Oil chai 1 l??t,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,D???u m??u ??i???u Dh Foods chai 90ml,D???u m??u ??i???u Dh Foods chai 90ml,4,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,Mu???i ???t T??y Ninh Dh Foods h?? 120g,Mu???i ???t T??y Ninh Dh Foods h?? 120g,4,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,Mu???i t??m ki???u T??y Ninh Dh Foods h?? 110g,Mu???i t??m ki???u T??y Ninh Dh Foods h?? 110g,3,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,S???t ph?? mai Dh Foods chai 100g,S???t ph?? mai Dh Foods chai 100g,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,S???t ti??u ??en Dh Foods chai 200g,S???t ti??u ??en Dh Foods chai 200g,5,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,S???t tr???ng mu???i Dh Foods chai 100g,S???t tr???ng mu???i Dh Foods chai 100g,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_dh_foods,Cong Ty Co Phan Dh Foods,X???t th??i s??? t???c Dh Foods chai 200g,X???t th??i s??? t???c Dh Foods chai 200g,2,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_duong_quang_ngai,Cong Ty Co Phan Duong Quang Ngai,???????ng v??ng Qu???ng Ng??i g??i 1kg,???????ng v??ng Qu???ng Ng??i g??i 1kg,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_duong_quang_ngai_nmd_an_khe,Cong Ty Co Phan Duong Quang Ngai Nmd An Khe,???????ng k??nh tr???ng An Kh?? g??i 1kg,???????ng k??nh tr???ng An Kh?? g??i 1kg,6,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_duong_quang_ngai_nmd_an_khe,Cong Ty Co Phan Duong Quang Ngai Nmd An Khe,???????ng k??nh tr???ng An Kh?? g??i 500g,???????ng k??nh tr???ng An Kh?? g??i 500g,4,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_bien_hoa,Cong Ty Co Phan Hang Tieu Dung Bien Hoa,???????ng l???ng Bi??n H??a Syrup m??a chai 400ml,???????ng l???ng Bi??n H??a Syrup m??a chai 400ml,3,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_bien_hoa,Cong Ty Co Phan Hang Tieu Dung Bien Hoa,???????ng m??a thi??n nhi??n Bi??n H??a g??i 1kg,???????ng m??a thi??n nhi??n Bi??n H??a g??i 1kg,7,,,missing-url,2026-03-15T18:02:50.232Z,,,,
